stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,correctResponse,keyCode,keyLabel,keyLabelType,keyIndex,response
red,text,red,congruent,red,ArrowLeft,stroop-color-left.png,image,0,red
green,text,green,congruent,green,ArrowDown,stroop-color-down.png,image,2,green
blue,text,blue,congruent,blue,ArrowRight,stroop-color-right.png,image,3,blue
red,text,green,incongruent,green,ArrowDown,stroop-color-down.png,image,2,green
blue,text,green,incongruent,green,ArrowDown,stroop-color-down.png,image,2,green
green,text,red,incongruent,red,ArrowLeft,stroop-color-left.png,image,0,red
blue,text,red,incongruent,red,ArrowLeft,stroop-color-left.png,image,0,red
green,text,blue,incongruent,blue,ArrowRight,stroop-color-right.png,image,3,blue
red,text,blue,incongruent,blue,ArrowRight,stroop-color-right.png,image,3,blue
red,text,yellow,incongruent,yellow,ArrowUp,stroop-color-up.png,image,1,yellow
blue,text,yellow,incongruent,yellow,ArrowUp,stroop-color-up.png,image,1,yellow
green,text,yellow,incongruent,yellow,ArrowUp,stroop-color-up.png,image,1,yellow
yellow,text,yellow,congruent,yellow,ArrowUp,stroop-color-up.png,image,1,yellow
yellow,text,red,incongruent,red,ArrowLeft,stroop-color-left.png,image,0,red
yellow,text,green,incongruent,green,ArrowDown,stroop-color-down.png,image,2,green
yellow,text,blue,incongruent,blue,ArrowRight,stroop-color-right.png,image,3,blue
